bird,3568,2037,3585,2072
bird,3510,2021,3531,2049
bird,2985,1816,2999,1838
bird,2043,1118,2064,1132
bird,2914,1827,2929,1846
bird,2921,1766,2938,1782
bird,2894,1748,2911,1764
bird,1918,1252,1933,1270
bird,2110,1130,2122,1152
bird,2962,1783,2986,1793
bird,2319,1413,2334,1429
bird,2357,1640,2372,1656
bird,2018,1148,2035,1162
bird,2346,1399,2360,1416
bird,2400,1623,2414,1640
bird,2948,1710,2965,1724
bird,1812,1298,1830,1311
bird,2981,1771,3002,1782
bird,1882,1306,1903,1317
bird,2082,1163,2101,1175
bird,2093,1203,2107,1219
bird,1699,1506,1713,1522
bird,1921,859,1935,875
bird,2978,1738,3000,1748
bird,2140,1177,2163,1186
bird,2184,1188,2198,1203
bird,2634,1887,2650,1900
bird,2391,1657,2404,1673
bird,2866,1789,2882,1802
bird,2121,1040,2138,1052
bird,2936,1829,2953,1841
bird,1893,931,1905,948
bird,2581,1919,2590,1941
bird,3393,1728,3404,1746
bird,2871,1722,2889,1733
bird,2599,1970,2613,1984
bird,1934,1099,1949,1112
bird,2178,1135,2190,1151
bird,1790,1128,1806,1140
bird,3346,1695,3362,1707
bird,1872,883,1882,902
bird,2060,1184,2077,1195
bird,1916,913,1927,930
bird,1997,1343,2015,1353
bird,2077,1081,2087,1099
bird,2999,1699,3017,1709
bird,1813,1488,1829,1499
bird,1746,1115,1759,1128
bird,2055,1056,2073,1065
bird,2137,1225,2146,1243
bird,1893,887,1902,905
bird,2134,1110,2143,1128
bird,3316,1657,3326,1673
bird,2699,1914,2709,1930
bird,1884,1110,1895,1124
bird,1775,1510,1785,1524
bird,2642,1941,2657,1950
bird,3431,1635,3442,1647
bird,3163,1880,3173,1893
bird,1884,1059,1894,1072
bird,3255,1892,3265,1905
bird,3328,1669,3342,1678
bird,1941,1070,1953,1080
bird,3173,1880,3183,1892
bird,3346,1598,3355,1611
bird,3199,1896,3207,1910
bird,1876,1102,1887,1112
bird,1876,1169,1883,1184
bird,3195,1908,3209,1915
bird,1824,1033,1833,1043
