bird,3355,2314,3388,2338
bird,3081,2323,3101,2350
bird,3069,2384,3096,2404
bird,2998,291,3025,310
bird,3033,1755,3055,1778
bird,2948,2262,2970,2285
bird,3697,2282,3721,2302
bird,2816,2222,2836,2246
bird,3379,2965,3404,2984
bird,3055,360,3080,379
bird,2974,330,2999,348
bird,2786,2156,2801,2184
bird,3152,2409,3168,2435
bird,2441,652,2467,668
bird,3783,3166,3804,3185
bird,3702,2962,3719,2985
bird,3015,355,3040,370
bird,3129,2414,3144,2439
bird,2274,579,2288,605
bird,2999,221,3025,235
bird,3346,2157,3370,2172
bird,2876,1528,2894,1548
bird,3597,2345,3620,2360
bird,3719,2809,3742,2824
bird,2853,2077,2879,2090
bird,3290,3100,3304,3124
bird,3068,276,3083,298
bird,3657,3375,3672,3397
bird,3621,2485,3634,2510
bird,3676,3477,3687,3506
bird,3272,3083,3288,3103
bird,3184,2402,3201,2419
bird,3339,2519,3352,2540
bird,2152,598,2165,619
bird,3661,2397,3676,2414
bird,2893,2199,2911,2213
bird,2776,2408,2785,2435
bird,3656,2255,3674,2268
bird,2829,1482,2841,1501
bird,3261,2516,3271,2536
