bird,3811,2015,3853,2103
bird,3860,1815,3907,1891
bird,787,406,833,482
bird,652,421,687,500
bird,712,417,745,489
bird,608,521,642,586
bird,3914,1024,3948,1087
bird,3855,1057,3895,1106
bird,3992,1065,4030,1116
bird,5330,514,5401,541
bird,3802,1142,3837,1196
bird,4093,1029,4129,1079
bird,4112,1111,4150,1157
bird,2183,677,2235,707
bird,671,193,702,239
bird,1927,2064,1972,2095
bird,814,618,867,644
bird,675,257,702,305
bird,893,700,927,738
bird,645,296,673,342
bird,2182,573,2226,602
bird,817,527,861,554
bird,752,272,776,319
bird,835,571,876,596
bird,2354,437,2390,464
bird,2004,333,2043,356
bird,1994,212,2029,237
bird,1957,273,1993,297
bird,2161,354,2188,385
bird,2089,341,2113,375
bird,2256,341,2279,374
bird,2104,420,2123,453
bird,4975,50,4999,73
bird,2662,156,2678,188
bird,2165,303,2186,327
bird,5131,133,5154,153
bird,4995,0,5014,22
